Date,TimeIn,GateIn,PCIn,ContactNo,NRIC,TimeOut,GateOut,PCOut,Stay
2020-08-01,16:09,B,1,95309875,F4766824X,19:11,E,12,182
2020-08-01,16:11,A,4,96524612,S1835815X,18:44,F,12,153
2020-08-01,16:11,C,5,92613708,S5115198X,18:35,G,12,144
2020-08-01,16:12,A,1,92275505,T4866731X,20:06,F,7,234
2020-08-01,16:14,C,3,81474579,F6841241X,19:29,F,8,195
2020-08-01,16:18,B,4,97889880,G6723030X,17:12,D,8,54
2020-08-01,16:21,A,6,92470954,F8846053X,18:25,G,10,124
2020-08-01,16:24,C,4,92311915,S4915765X,16:55,E,8,31
2020-08-01,16:24,B,3,82590156,T6080007X,17:31,G,8,67
2020-08-01,16:29,B,6,99004431,F2333981X,17:36,E,11,67
2020-08-01,16:34,B,6,85264278,S2443890X,17:32,E,9,58
2020-08-01,16:37,C,3,92508000,G0457823X,18:01,F,9,84
2020-08-01,16:39,B,5,96140054,G5429552X,18:35,F,7,116
2020-08-01,16:40,B,1,85634574,T5498171X,18:47,D,11,127
2020-08-01,16:43,C,6,85672021,F8619762X,20:17,D,12,214
2020-08-01,16:44,A,1,99128695,S3206741X,18:22,E,10,98
2020-08-01,16:47,A,1,87078929,G6345801X,17:47,G,9,60
2020-08-01,16:48,C,2,84010275,T3333403X,17:29,E,10,41
2020-08-01,16:53,B,5,94433145,F9578055X,19:50,G,12,177
2020-08-01,16:56,C,5,86009719,G7148637X,18:58,F,10,122
2020-08-01,16:58,C,3,97939049,S9348080X,18:27,E,12,89
2020-08-01,17:02,C,3,98461037,G6413434X,20:15,D,11,193
2020-08-01,17:04,C,3,81334939,G0922594X,18:24,F,10,80
2020-08-01,17:07,B,6,81959882,S6036131X,17:17,D,11,10
2020-08-01,17:07,B,2,83374053,G4672750X,19:30,D,11,143
2020-08-01,17:07,C,2,96028912,T4012879X,17:58,F,9,51
2020-08-01,17:10,B,1,94490361,G0509833X,19:03,E,9,113
2020-08-01,17:13,C,1,94082000,G1996060X,19:30,D,8,137
2020-08-01,17:17,B,5,97441491,F9472420X,17:41,D,8,24
2020-08-01,17:17,C,6,82285553,G1134779X,19:34,E,9,137
2020-08-01,17:19,A,4,87504749,T0085755X,19:19,F,11,120
2020-08-01,17:19,A,3,88192571,F2048445X,18:53,F,8,94
2020-08-01,17:22,B,5,89167817,S7072667X,18:01,D,10,39
2020-08-01,17:23,A,1,89366787,G3339686X,20:13,F,11,170
2020-08-01,17:24,C,1,89129000,F8608178X,19:12,D,11,108
2020-08-01,17:26,C,5,82426913,G9231670X,18:39,D,9,73
2020-08-01,17:31,B,2,89417479,T0613626X,21:25,F,9,234
2020-08-01,17:33,A,3,93622529,F6299885X,21:17,E,9,224
2020-08-01,17:33,C,4,89348047,F9256527X,17:49,E,11,16
2020-08-01,17:33,C,1,81879226,T4921222X,18:52,G,12,79
2020-08-01,17:34,C,4,81770781,T2318816X,20:24,E,7,170
2020-08-01,17:38,A,3,97674914,G7319744X,20:21,E,7,163
2020-08-01,17:43,B,2,81602364,T4847217X,20:02,E,10,139
2020-08-01,17:43,B,3,92748694,G8189151X,20:42,E,12,179
2020-08-01,17:45,A,3,87636937,F0275704X,20:49,E,12,184
2020-08-01,17:48,C,6,89201316,G8726079X,20:08,F,8,140
2020-08-01,17:49,A,1,84091170,S8895928X,18:31,E,7,42
2020-08-01,17:50,C,3,92132113,T6958171X,19:32,E,11,102
2020-08-01,17:50,C,1,98650601,G8955197X,21:04,G,8,194
2020-08-01,17:53,C,2,81723254,S8742667X,18:26,G,9,33
2020-08-01,17:55,B,5,92610629,T7267028X,20:28,E,12,153
2020-08-01,17:55,B,3,88822066,G9460812X,18:06,D,11,11
2020-08-01,17:55,C,5,85589189,T7222047X,19:55,E,9,120
2020-08-01,17:55,C,6,98398204,F7039525X,21:55,D,7,240
2020-08-01,17:59,C,5,87566726,F8395742X,20:14,E,8,135
2020-08-01,17:59,A,5,93979996,T5959808X,21:53,D,7,234
2020-08-01,17:59,C,6,86463899,T9711472X,21:18,F,10,199
2020-08-01,18:00,C,5,99453296,G5871988X,20:29,E,8,149
2020-08-01,18:01,A,3,93409189,F5183169X,18:28,G,12,27
2020-08-01,18:01,A,3,96042995,F2860370X,20:24,F,8,143
2020-08-01,18:02,B,1,81875879,T5040697X,19:18,E,9,76
2020-08-01,18:07,B,3,95924314,S7123755X,21:54,F,12,227
2020-08-01,18:08,A,4,97843600,S6969173X,18:32,G,9,24
2020-08-01,18:08,C,1,96973832,T3535167X,21:31,E,11,203
2020-08-01,18:09,A,4,96542478,T7736054X,19:32,G,7,83
2020-08-01,18:10,B,1,92335294,T2997184X,21:57,D,12,227
2020-08-01,18:10,B,4,92696926,T2394625X,18:27,F,7,17
2020-08-01,18:13,A,5,94716053,F8615283X,20:04,G,12,111
2020-08-01,18:18,C,6,98704716,G9990053X,20:48,E,10,150
2020-08-01,18:19,C,6,95499235,F8903307X,19:40,D,10,81
2020-08-01,18:24,B,1,83449445,F0690969X,20:09,D,10,105
2020-08-01,18:27,B,2,81309642,G9141938X,19:33,F,11,66
2020-08-01,18:27,A,2,82303439,F6025966X,18:47,E,11,20
2020-08-01,18:29,A,5,82099890,T7550201X,22:13,E,8,224
2020-08-01,18:29,B,6,91868166,F7237045X,21:36,G,9,187
2020-08-01,18:32,B,6,94986399,S6155274X,19:57,F,8,85
2020-08-01,18:34,B,6,99811155,S1502259X,20:09,E,8,95
2020-08-01,18:35,C,4,87782020,T9016034X,22:24,D,9,229
2020-08-01,18:37,A,2,96804412,S0586871X,19:16,D,12,39
2020-08-01,18:41,A,1,92633326,G0490491X,19:12,D,8,31
2020-08-01,18:43,B,2,89117802,G4859023X,20:54,F,8,131
2020-08-01,18:43,C,3,98953134,T8846695X,22:40,F,10,237
2020-08-01,18:44,C,6,92744866,S0587449X,18:57,E,11,13
2020-08-01,18:45,B,5,84704258,G1995267X,22:35,G,10,230
2020-08-01,18:50,B,4,87472735,S3302392X,19:00,F,10,10
2020-08-01,18:53,B,6,98923039,T3412643X,21:14,F,7,141
2020-08-01,18:58,C,2,97607345,G1138890X,19:17,G,9,19
2020-08-01,19:03,C,1,93154659,G7161942X,20:46,F,9,103
2020-08-01,19:08,C,4,95367559,G1610404X,19:56,G,8,48
2020-08-01,19:08,A,5,87089423,S9146828X,20:40,G,9,92
2020-08-01,19:12,C,2,95097195,G4580059X,19:42,D,10,30
2020-08-01,19:15,C,2,92103249,F4025936X,20:23,F,10,68
2020-08-01,19:17,A,5,98531471,G9708896X,22:00,D,7,163
2020-08-01,19:19,B,4,99478502,G2754541X,20:12,G,8,53
2020-08-01,19:22,C,2,89258704,F1133890X,20:06,F,12,44
2020-08-01,19:25,C,3,82122962,F3928074X,21:50,F,12,145
2020-08-01,19:26,A,1,91309984,T3818597X,19:52,D,9,26
2020-08-01,19:30,B,4,91212234,F7010964X,21:49,D,10,139
2020-08-01,19:33,C,1,89181560,S8378781X,21:21,F,7,108
2020-08-01,19:33,A,2,98917714,G7173682X,21:49,F,11,136
2020-08-01,19:36,B,3,85421986,T5539878X,20:51,E,12,75
2020-08-01,19:40,C,5,87583157,T6156263X,20:55,G,8,75
2020-08-01,19:43,B,1,81540402,F0761279X,21:27,D,12,104
2020-08-01,19:47,A,3,82208602,T1878351X,20:27,G,8,40
2020-08-01,19:47,A,4,82994011,G6009225X,21:37,E,11,110
2020-08-01,19:52,C,6,92137422,T1500199X,20:34,G,10,42
2020-08-01,19:55,B,3,95831271,F8349592X,21:21,F,12,86
2020-08-01,19:55,A,1,86542859,S5021853X,20:01,E,12,6
2020-08-01,19:58,A,1,84366048,G6742680X,21:37,F,9,99
2020-08-01,19:58,A,4,97115167,S9724227X,21:46,E,10,108
2020-08-01,20:01,C,5,92799786,F7694715X,20:53,G,12,52
2020-08-01,20:05,A,3,96545898,G1854585X,21:24,E,11,79
2020-08-01,20:06,C,1,85481335,G7950527X,20:37,F,7,31
2020-08-01,20:06,A,6,84483171,F8953729X,21:54,G,10,108
2020-08-01,20:10,B,6,82832092,G6637161X,21:13,D,7,63
2020-08-01,20:13,B,2,83828648,S7528152X,21:24,F,12,71
2020-08-01,20:17,A,5,88356482,G3395974X,20:33,E,12,16
2020-08-01,20:21,B,1,95254673,T4949023X,20:30,G,8,9
2020-08-01,20:23,C,5,91540751,T0451991X,21:45,F,9,82
2020-08-01,20:28,A,4,84177552,F6652656X,21:43,G,7,75
2020-08-01,20:29,C,3,97357661,G9011577X,20:46,D,7,17
2020-08-01,20:32,A,6,97057773,S6622130X,21:58,G,9,86
2020-08-01,20:32,A,6,97457058,F0185884X,21:30,D,9,58
2020-08-01,20:36,C,3,83143265,T6230542X,21:09,G,9,33
2020-08-01,20:40,B,4,96316720,S3453205X,20:44,G,9,4
2020-08-01,20:44,A,1,97716903,G6763276X,21:38,E,10,54
2020-08-01,20:48,C,3,91607031,F4168243X,20:57,G,9,9
2020-08-01,20:52,C,1,92462319,G2034515X,21:22,E,9,30
2020-08-01,20:52,A,3,85747739,S8178492X,21:29,G,11,37
2020-08-01,20:55,A,4,92152088,T3384648X,21:19,D,11,24
2020-08-01,20:58,B,1,95555512,G8743943X,21:38,D,9,40
2020-08-01,21:02,B,1,84247405,T3132787X,21:24,D,11,22
2020-08-01,21:07,C,5,88144810,F0410859X,21:21,E,8,14
2020-08-01,21:09,A,1,84433576,T4020722X,21:17,G,8,8
2020-08-01,21:11,A,1,95665540,S9331370X,21:32,D,9,21
2020-08-01,21:15,A,6,89572947,T4225991X,21:53,G,7,38
2020-08-01,21:16,B,1,94218323,S4937422X,21:22,D,8,6
2020-08-01,21:18,C,4,84622148,S5443408X,21:47,F,8,29
2020-08-01,21:19,C,2,98307076,T3857444X,21:43,D,10,24
2020-08-01,21:23,A,6,92887076,F4127405X,21:43,E,9,20
2020-08-01,21:24,B,5,83284926,S3335040X,21:46,F,12,22
2020-08-01,21:25,B,6,94882459,F5801984X,21:35,D,9,10
2020-08-01,21:25,A,2,95219111,G6814789X,21:56,D,10,31
2020-08-01,21:30,C,2,89176734,T3226845X,21:47,E,12,17
2020-08-01,21:31,A,3,95313572,G5927524X,21:51,G,10,20
2020-08-01,21:36,C,6,92082034,T6134421X,21:40,F,10,4
2020-08-01,21:40,C,4,93773727,S8225329X,21:58,E,9,18
2020-08-01,21:43,A,4,87194097,F3100882X,21:56,G,10,13
2020-08-02,10:00,C,6,81390837,F4733079X,10:40,F,9,40
2020-08-02,10:04,C,2,86784080,G8315535X,12:42,D,9,158
2020-08-02,10:06,B,6,99350260,T5905614X,13:46,G,7,220
2020-08-02,10:07,A,1,84543233,T7331653X,12:31,D,7,144
2020-08-02,10:11,C,1,92153346,G1891780X,13:53,G,9,222
2020-08-02,10:13,A,2,92749922,S9466036X,10:51,D,10,38
2020-08-02,10:13,C,6,98375893,G3905333X,12:14,F,7,121
2020-08-02,10:14,B,6,98371119,F2917150X,13:53,D,10,219
2020-08-02,10:17,A,3,83453210,S7460121X,13:08,G,7,171
2020-08-02,10:20,A,3,88843760,S9808966X,12:44,E,11,144
2020-08-02,10:24,A,6,86488075,F3351651X,12:10,F,12,106
2020-08-02,10:24,A,2,93426809,S4115634X,10:47,E,11,23
2020-08-02,10:24,A,1,87761571,G3934271X,10:38,D,8,14
2020-08-02,10:24,C,6,97016073,T3646041X,14:01,D,12,217
2020-08-02,10:29,C,4,99142348,G0274604X,11:40,F,10,71
2020-08-02,10:32,A,4,87568204,T0387554X,10:56,F,7,24
2020-08-02,10:36,A,5,98401569,S2829842X,13:48,G,10,192
2020-08-02,10:40,B,2,97355956,S3249330X,12:43,F,9,123
2020-08-02,10:44,B,4,82888863,S2769488X,13:06,F,9,142
2020-08-02,10:47,A,2,99414619,G1173861X,13:02,E,8,135
2020-08-02,10:47,A,6,83926599,T4436384X,13:21,D,11,154
2020-08-02,10:52,C,6,94720131,S9992466X,11:46,G,9,54
2020-08-02,10:55,B,3,87068684,T7377666X,12:09,F,11,74
2020-08-02,10:59,A,3,85953146,T0275618X,11:04,F,12,5
2020-08-02,11:02,A,2,87933274,G4871966X,13:48,G,7,166
2020-08-02,11:05,C,6,83527404,S2653200X,12:38,D,9,93
2020-08-02,11:05,C,1,95086210,G0052707X,12:24,E,10,79
2020-08-02,11:07,C,3,84686992,S0357389X,11:49,D,10,42
2020-08-02,11:10,C,4,84027895,S2192106X,14:40,G,10,210
2020-08-02,11:10,C,6,86021236,G3928505X,11:51,E,8,41
2020-08-02,11:11,B,6,93501305,T0221446X,11:23,G,8,12
2020-08-02,11:12,C,6,94346038,F3581239X,14:45,D,11,213
2020-08-02,11:17,B,1,84484629,G1431987X,12:47,F,7,90
2020-08-02,11:17,C,4,89478678,S3859453X,14:21,D,9,184
2020-08-02,11:17,B,6,93618060,F3751708X,14:50,E,9,213
2020-08-02,11:21,A,4,87044089,T8574618X,11:26,E,7,5
2020-08-02,11:25,A,2,91855290,G0916008X,12:41,D,7,76
2020-08-02,11:28,A,5,96555487,S0947476X,12:58,G,10,90
2020-08-02,11:33,B,3,84500055,F6651042X,13:10,F,10,97
2020-08-02,11:36,C,1,96429676,T3410678X,15:31,E,12,235
2020-08-02,11:36,C,2,97235095,T8262047X,14:50,G,10,194
2020-08-02,11:36,C,6,85961215,G4709531X,15:20,G,7,224
2020-08-02,11:41,C,3,85018239,F8792015X,13:12,G,8,91
2020-08-02,11:46,B,1,81192989,F4416686X,14:16,E,7,150
2020-08-02,11:51,C,4,98219205,F7968780X,12:08,F,11,17
2020-08-02,11:51,B,3,84106225,T1760047X,15:42,G,11,231
2020-08-02,11:52,A,4,98597469,G0252659X,13:52,F,9,120
2020-08-02,11:57,C,5,91519129,F3543462X,14:22,D,9,145
2020-08-02,11:57,B,1,88667898,F4684141X,15:30,F,10,213
2020-08-02,11:58,C,3,83483448,F7077372X,13:56,E,12,118
2020-08-02,11:59,C,4,87062320,S3435491X,12:58,E,7,59
2020-08-02,11:59,A,2,84107785,S0577339X,14:47,G,12,168
2020-08-02,12:03,C,2,88543579,F8786351X,13:27,E,11,84
2020-08-02,12:08,B,3,95396020,S0285115X,12:38,F,7,30
2020-08-02,12:11,C,6,84617970,F7751681X,13:00,G,10,49
2020-08-02,12:15,C,6,94155326,T7369507X,15:06,G,10,171
2020-08-02,12:16,A,5,81480198,T6035660X,13:53,F,12,97
2020-08-02,12:17,B,6,94047012,S1981445X,15:09,D,9,172
2020-08-02,12:22,A,6,95659194,S6875169X,13:58,E,12,96
2020-08-02,12:25,A,4,96958745,S5561119X,14:13,G,9,108
2020-08-02,12:27,C,2,89407439,F4897173X,15:38,F,9,191
2020-08-02,12:32,C,6,95883402,S5268152X,13:17,F,9,45
2020-08-02,12:36,B,6,92889764,S4800637X,14:59,E,12,143
2020-08-02,12:38,C,4,83110254,S3466687X,15:26,E,12,168
2020-08-02,12:43,B,5,87141827,T8073256X,14:20,E,9,97
2020-08-02,12:44,B,5,99338594,S4002354X,14:37,F,8,113
2020-08-02,12:44,C,5,86340908,S1699228X,13:42,F,11,58
2020-08-02,12:48,B,5,83996924,G7004963X,14:09,G,12,81
2020-08-02,12:52,C,2,93923556,T7648740X,14:22,G,10,90
2020-08-02,12:55,A,4,98034650,G0063835X,15:15,F,9,140
2020-08-02,12:59,C,4,89584020,T6429558X,14:56,F,7,117
2020-08-02,12:59,B,1,84525284,T7869121X,15:49,E,9,170
2020-08-02,13:03,A,1,86392487,G4164054X,13:37,E,10,34
2020-08-02,13:08,C,4,86086980,T4529427X,16:54,D,8,226
2020-08-02,13:12,B,1,84569963,S4930475X,14:21,G,7,69
2020-08-02,13:15,A,1,95490559,G1304221X,15:06,E,10,111
2020-08-02,13:20,A,2,93439075,S0643536X,15:52,G,7,152
2020-08-02,13:20,B,4,85519162,F9135487X,16:35,D,8,195
2020-08-02,13:21,A,1,87532753,F8638179X,16:33,G,7,192
2020-08-02,13:22,A,2,98498481,G2073452X,16:18,D,9,176
2020-08-02,13:23,A,2,92074950,G2652389X,14:44,G,9,81
2020-08-02,13:26,A,4,82005614,G6124454X,16:46,G,10,200
2020-08-02,13:29,A,4,82412464,T2394043X,15:51,G,11,142
2020-08-02,13:31,B,5,84936160,F9201712X,17:14,E,10,223
2020-08-02,13:36,C,6,98419307,F4394418X,13:40,G,12,4
2020-08-02,13:36,B,5,86709017,G5203066X,17:06,F,7,210
2020-08-02,13:38,C,2,93065400,S4178976X,14:18,E,7,40
2020-08-02,13:41,C,5,87270553,G1951026X,14:27,G,10,46
2020-08-02,13:46,C,1,95795547,S5018189X,17:02,F,9,196
2020-08-02,13:48,C,3,93016102,F3034958X,15:09,G,12,81
2020-08-02,13:49,B,4,83945329,S1785161X,16:44,F,10,175
2020-08-02,13:54,C,5,99452153,S5588546X,15:51,F,9,117
2020-08-02,13:58,C,1,86202654,S7479853X,15:56,F,10,118
2020-08-02,14:02,A,5,88999276,G1790516X,17:17,E,12,195
2020-08-02,14:04,C,4,87238337,T1692525X,15:46,F,8,102
2020-08-02,14:07,C,1,92144922,T5248647X,16:07,D,12,120
2020-08-02,14:10,A,3,96048906,S4496316X,16:29,G,12,139
2020-08-02,14:15,A,6,84188023,S2587080X,14:30,F,9,15
2020-08-02,14:18,C,2,82512056,T7005081X,16:18,E,9,120
2020-08-02,14:21,A,5,92653048,S5260696X,17:21,E,12,180
2020-08-02,14:21,A,6,94140381,S8681834X,16:34,E,12,133
2020-08-02,14:24,C,6,93729774,F2368483X,16:27,D,9,123
2020-08-02,14:29,A,1,96209392,T8224983X,15:34,G,9,65
